Novak Djokovic
bye
Bjorn Fratangelo
Elias Ymer
Philipp Kohlschreiber
Pierre Hugues Herbert
Nick Kyrgios
bye
Gael Monfils
bye
Leonardo Mayer
Reilly Opelka
Albert Ramos
Damir Dzumhur
Marco Cecchinato
bye
Borna Coric
bye
Ivo Karlovic
Matthew Ebden
Prajnesh Gunneswaran
Benoit Paire
Nikoloz Basilashvili
bye
Gilles Simon
bye
Malek Jaziri
Bradley Klahn
Jordan Thompson
Federico Delbonis
Dominic Thiem
bye
Alexander Zverev
bye
Martin Klizan
Mischa Zverev
Jan Lennard Struff
John Millman
Ricardas Berankis
bye
Alex De Minaur
bye
Marcos Giron
Jeremy Chardy
Sam Querrey
Matteo Berrettini
Milos Raonic
bye
Stefanos Tsitsipas
bye
Felix Auger Aliassime
Cameron Norrie
Yoshihito Nishioka
Denis Kudla
Roberto Bautista Agut
bye
Laslo Djere
bye
Guido Andreozzi
Ilya Ivashka
Maximilian Marterer
Ugo Humbert
Miomir Kecmanovic
bye
Kei Nishikori
bye
Adrian Mannarino
Tennys Sandgren
Hubert Hurkacz
Donald Young
Lucas Pouille
bye
Denis Shapovalov
bye
Steve Johnson
Taylor Harry Fritz
Dusan Lajovic
Taro Daniel
Marin Cilic
bye
Fabio Fognini
bye
Radu Albot
Marius Copil
Nicolas Jarry
Francis Tiafoe
Kyle Edmund
bye
Marton Fucsovics
bye
Stanislas Wawrinka
Daniel Evans
Peter Gojowczyk
Andreas Seppi
Roger Federer
bye
John Isner
bye
Alexei Popyrin
Jaume Munar
Alex Bolt
Ernests Gulbis
Guido Pella
bye
Andrey Rublev
bye
Robin Haase
Denis Istomin
Feliciano Lopez
Tomas Berdych
Karen Khachanov
bye
Daniil Medvedev
bye
Mackenzie Mcdonald
Joao Sousa
Filip Krajinovic
Mikhail Kukushkin
David Goffin
bye
Diego Sebastian Schwartzman
bye
Roberto Carballes Baena
Ryan Harrison
Jared Donaldson
Tatsuma Ito
Rafael Nadal
bye
