Novak Djokovic
Bye
Bernard Tomic
Tomas Berdych
Peter Gojowczyk
Federico Delbonis
Bye
John Millman
Roberto Bautista Agut
Bye
Janko Tipsarevic
Bradley Klahn
Mikhail Kukushkin
Guido Andreozzi
Bye
Fabio Fognini
Milos Raonic
Bye
Maximilian Marterer
Taylor Harry Fritz
Thomas Fabbiano
Ilya Ivashka
Bye
Kyle Edmund
Lucas Pouille
Bye
Marius Copil
Albert Ramos
Martin Klizan
Lorenzo Sonego
Bye
John Isner
Dominic Thiem
Bye
Matteo Berrettini
Hubert Hurkacz
Felix Auger Aliassime
Casper Ruud
Bye
Marton Fucsovics
Nikoloz Basilashvili
Bye
Nicola Kuhn
Mischa Zverev
Robin Haase
Lukas Lacko
Bye
Lloyd George Muirhead Harris
Borna Coric
Bye
Roberto Carballes Baena
Denis Kudla
Jeremy Chardy
Nicolas Jarry
Bye
Gilles Simon
Nick Kyrgios
Bye
Tennys Sandgren
Alexander Bublik
Dusan Lajovic
Pablo Cuevas
Bye
Kei Nishikori
Kevin Anderson
Bye
Jaume Munar
Prajnesh Gunneswaran
Joao Sousa
Chun Hsin Tseng
Bye
Steve Johnson
Grigor Dimitrov
Bye
Feliciano Lopez
Benoit Paire
Cameron Norrie
Jordan Thompson
Bye
Karen Khachanov
Daniil Medvedev
Bye
Adrian Mannarino
Aljaz Bedene
Reilly Opelka
Jan Lennard Struff
Bye
Diego Sebastian Schwartzman
Stanislas Wawrinka
Bye
Pierre Hugues Herbert
Filip Krajinovic
Radu Albot
Matthew Ebden
Bye
Roger Federer
Stefanos Tsitsipas
Bye
Mackenzie Mcdonald
Ugo Humbert
Leonardo Mayer
Mikael Ymer
Bye
Guido Pella
Denis Shapovalov
Bye
Daniel Evans
Malek Jaziri
Andrey Rublev
Taro Daniel
Bye
Marin Cilic
Marco Cecchinato
Bye
Christopher Eubanks
Damir Dzumhur
Pablo Andujar
Ivo Karlovic
Bye
David Goffin
Francis Tiafoe
Bye
Ernests Gulbis
Miomir Kecmanovic
Sam Querrey
David Ferrer
Bye
Alexander Zverev
