Rank,Player,Age,Elo,Hard,Clay,Grass,Peak Match,Peak Age,Peak Elo
1,Novak Djokovic,31.6,2206.8,2113.5,2042.1,1969.2,2016 Monte Carlo Masters R32,28.9,2471.6
2,Roger Federer,37.5,2156.4,2053.3,1738.7,1886.6,2007 Indian Wells Masters R64,25.6,2377.2
3,Rafael Nadal,32.7,2141.3,1951.6,2134.2,1611.8,2009 Madrid Masters F,22.9,2369.2
4,Alexander Zverev,21.9,2068.6,1957.5,2056.9,1695.5,2017 Cincinnati Masters R32,20.3,2140.4
5,Kei Nishikori,29.2,2032.3,1917.2,1959.3,1740.2,2016 Us Open SF,26.7,2210.6
6,Daniil Medvedev,23.0,2013.6,1934.5,1484.5,1631.5,2019 Rotterdam SF,23.0,2057.7
7,Kevin Anderson,32.7,2006.5,1881.2,1800.1,1734.5,2019 Australian Open R64,32.7,2020.9
8,Stefanos Tsitsipas,20.5,1997.3,1897.8,1754.1,1562.2,2019 Dubai F,20.5,2006.9
9,Juan Martin Del Potro,30.4,1985.7,1882.9,1730.6,1566.4,2009 Tokyo R32,21.0,2231.4
10,Roberto Bautista Agut,30.9,1976.1,1882.5,1812.3,1774.8,2016 Rotterdam QF,27.8,2015.8
11,Borna Coric,22.3,1974.6,1861.7,1801.7,1528.5,2019 Australian Open R16,22.2,1997.2
12,Nick Kyrgios,23.8,1972.9,1877.5,1628.7,1706.7,2017 Cincinnati Masters F,22.3,2086.7
13,Marin Cilic,30.4,1972.1,1830.1,1823.0,1829.9,2010 Dubai QF,21.4,2095.2
14,Dominic Thiem,25.5,1969.3,1842.8,2003.3,1625.7,2016 Halle SF,22.8,2123.8
15,Gael Monfils,32.5,1945.0,1893.1,1697.7,1587.5,2015 Monte Carlo Masters SF,28.6,2069.6
16,Milos Raonic,28.2,1934.7,1828.5,1825.2,1778.1,2016 Wimbledon F,25.5,2157.0
17,Grigor Dimitrov,27.7,1934.0,1868.0,1780.1,1669.6,2014 Canada Masters SF,23.2,2091.6
18,Karen Khachanov,22.8,1932.6,1801.2,1785.6,1730.9,2018 Doha R32,22.6,2013.0
19,Kyle Edmund,24.1,1907.7,1808.0,1785.2,1432.7,2018 Vienna R16,23.8,1930.9
20,Richard Gasquet,32.4,1899.3,1771.8,1831.5,1674.1,2013 Monte Carlo Masters QF,26.8,2053.5
21,Stanislas Wawrinka,33.9,1897.3,1828.2,1850.1,1519.8,2016 Australian Open R16,30.8,2147.4
22,Alex De Minaur,20.0,1896.9,1809.3,1413.7,1607.2,2019 Acapulco QF,20.0,1906.7
23,John Isner,33.8,1888.6,1788.7,1772.3,1767.8,2012 US Open R32,27.3,2040.5
24,Jo Wilfried Tsonga,33.8,1879.3,1794.7,1746.2,1596.6,2009 Indian Wells Masters R32,23.9,2126.4
25,Tomas Berdych,33.4,1867.1,1796.7,1735.5,1612.9,2013 Miami Masters QF,27.5,2136.6
26,David Goffin,28.2,1864.8,1765.3,1816.0,,2017 Rome R16,26.4,2035.3
27,Nikoloz Basilashvili,27.0,1857.7,1756.7,1710.4,1431.8,2018 Shanghai Masters R32,26.6,1869.5
28,Marton Fucsovics,27.0,1857.0,1757.0,1716.0,1568.3,2019 Dubai QF,27.0,1860.8
29,Fabio Fognini,31.7,1856.4,1782.3,1799.0,1604.6,2014 Munich F,26.9,2008.7
30,Diego Sebastian Schwartzman,26.5,1845.4,1726.2,1833.6,1270.7,2018 Acapulco R16,25.5,1927.4
31,Fernando Verdasco,35.3,1834.2,1747.2,1782.4,1549.4,2010 Rome Masters SF,26.4,2097.4
32,Pablo Carreno Busta,27.5,1831.3,1736.0,1754.5,1257.7,2017 Roland Garros R16,25.9,1930.6
33,Lucas Pouille,24.9,1830.5,1763.2,1731.3,1597.1,2017 Madrid R64,23.2,1972.8
34,Ugo Humbert,20.6,1827.5,1755.2,1178.6,,2019 Marseille SF,20.6,1852.2
35,Gilles Simon,34.1,1825.9,1742.4,1711.8,1591.2,2009 Rotterdam R16,24.1,2016.0
36,Sam Querrey,31.4,1821.6,1710.7,1666.0,1760.9,2012 Paris Masters QF,25.1,1972.7
37,Denis Shapovalov,19.8,1819.3,1708.4,1699.9,1392.2,2018 Tokyo SF,19.5,1904.5
38,Philipp Kohlschreiber,35.4,1817.7,1711.3,1777.7,1601.8,2009 Stuttgart R16,25.7,1985.1
39,David Ferrer,36.9,1817.2,1788.0,1795.5,1534.0,2013 Acapulco F,30.9,2219.9
